Subject,Predicate,Object,Good,Source Text,Alignment
Aircraft Operator receives ATOT,hasNext,ATOT received via AO/GH (long flight),1,Effect If the departure airport is more than 3hrs flying time from the destination airport the ATOT is received from either the Network Operations FUM or via the Aircraft Operator / Ground Handler.,AlignmentStatus.MATCH_FUZZY
ATOT received from Network Operations FUM (long flight),hasNext,ELDT calculated (long flight),1,Using the ATOT an ELDT can be calculated by using the Estimated Elapsed Time on the FPL.,AlignmentStatus.MATCH_FUZZY
ATOT received via AO/GH (long flight),hasNext,ELDT calculated (long flight),1,Using the ATOT an ELDT can be calculated by using the Estimated Elapsed Time on the FPL.,AlignmentStatus.MATCH_FUZZY
Network Operations receives ATOT,hasNext,Network Operations monitors flight progress (short flight),1,If the flight is within 3hrs flying time of the destination airport the Network Operations monitors progress of the flight using the ETFMS and send a Flight Update Message (FUM) that provides updates of the flight’s progress.,AlignmentStatus.MATCH_FUZZY
Network Operations monitors flight progress (short flight),hasNext,Network Operations sends FUM (short flight),1,If the flight is within 3hrs flying time of the destination airport the Network Operations monitors progress of the flight using the ETFMS and send a Flight Update Message (FUM) that provides updates of the flight’s progress.,AlignmentStatus.MATCH_FUZZY
Take off from outstation,hasStakeholder,Airline,1,This process is triggered by n the take off from outstation.,AlignmentStatus.MATCH_FUZZY
Operational status changes to AIRBORNE,hasStakeholder,ACISP,1,Operational Status AIRBORNE (changes to),AlignmentStatus.MATCH_FUZZY
Calculate TTOT based on EIBT+MTTT+EXOT,hasStakeholder,AO/GH,1,Calculation basis for the TTOT shall take into account EIBT+MTTT+EXOT.,AlignmentStatus.MATCH_EXACT
Adjust TTOT if EOBT is later than EIBT+MTTT,hasStakeholder,AO/GH,1,"In case EOBT is later than EIBT+MTTT, TTOT equals EOBT+EXOT.",AlignmentStatus.MATCH_EXACT
Overrule TTOT estimate with TOBT+EXOT if TOBT is available,hasStakeholder,AO/GH,1,"In the case where TOBT is available this prediction will overrule the EIBT+MTTT estimate, hence TTOT equals TOBT+EXOT.",AlignmentStatus.MATCH_EXACT
"ELDT, EIBT, TOBT, and TTOT updated in ACISP",hasStakeholder,ACISP,1,"Action on CDM Operation (ACISP) ELDT, EIBT, TOBT and TTOT updated",AlignmentStatus.MATCH_EXACT
Check consistency of estimated landing time with flight plan,hasStakeholder,AO/GH,1,Procedures To check whether the AO/GH estimated landing time after take off from outstation are consistent with the outbound ATC Flight Plan,AlignmentStatus.MATCH_FUZZY
Respect TTOT tolerance,hasStakeholder,AO/GH,1,A TTOT tolerance of 5 minutes is respected before Network Operations is informed of the updated TTOT.,AlignmentStatus.MATCH_FUZZY
Inform Network Operations about updated take off time estimates,hasStakeholder,AO/GH,1,and when needed inform the Network Operations about the updated take off time estimates using a T-DPI-t Message.,AlignmentStatus.MATCH_FUZZY
Take off from outstation,hasNext,Operational status changes to AIRBORNE,1,This process is triggered by n the take off from outstation.,AlignmentStatus.MATCH_FUZZY
Operational status changes to AIRBORNE,hasNext,Calculate TTOT based on EIBT+MTTT+EXOT,1,Operational Status AIRBORNE (changes to),AlignmentStatus.MATCH_FUZZY
Calculate TTOT based on EIBT+MTTT+EXOT,hasNext,Adjust TTOT if EOBT is later than EIBT+MTTT,1,Calculation basis for the TTOT shall take into account EIBT+MTTT+EXOT.,AlignmentStatus.MATCH_FUZZY
Adjust TTOT if EOBT is later than EIBT+MTTT,hasNext,Overrule TTOT estimate with TOBT+EXOT if TOBT is available,1,"In case EOBT is later than EIBT+MTTT, TTOT equals EOBT+EXOT.",AlignmentStatus.MATCH_FUZZY
Overrule TTOT estimate with TOBT+EXOT if TOBT is available,hasNext,"ELDT, EIBT, TOBT, and TTOT updated in ACISP",1,"In the case where TOBT is available this prediction will overrule the EIBT+MTTT estimate, hence TTOT equals TOBT+EXOT.",AlignmentStatus.MATCH_FUZZY
"ELDT, EIBT, TOBT, and TTOT updated in ACISP",hasNext,Check consistency of estimated landing time with flight plan,1,"Action on CDM Operation (ACISP) ELDT, EIBT, TOBT and TTOT updated",AlignmentStatus.MATCH_FUZZY
Check consistency of estimated landing time with flight plan,hasNext,Respect TTOT tolerance,1,Procedures To check whether the AO/GH estimated landing time after take off from outstation are consistent with the outbound ATC Flight Plan,AlignmentStatus.MATCH_FUZZY
Respect TTOT tolerance,hasNext,Inform Network Operations about updated take off time estimates,1,A TTOT tolerance of 5 minutes is respected before Network Operations is informed of the updated TTOT.,AlignmentStatus.MATCH_FUZZY
