Subject,Predicate,Object,Good,Source Text,Alignment
Operational Status changes to INITIATED,hasStakeholder,ACISP,1,Operational Status INITIATED (changes to),AlignmentStatus.MATCH_FUZZY
ELDT and EIBT updated for arrival,hasStakeholder,ACISP,1,Action on CDM ELDT and EIBT updated for an arrival,AlignmentStatus.MATCH_FUZZY
EOBT and ETOT updated for departure,hasStakeholder,ACISP,1,Operation (ACISP) EOBT and ETOT updated for a departure,AlignmentStatus.MATCH_FUZZY
DPI process commences,hasStakeholder,ACISP,1,The DPI process commences (if implemented – see section 3.7.3 for details).,AlignmentStatus.MATCH_FUZZY
First activation of ATC Flight Plan,hasNext,E-DPI message consistency check,1,This process is triggered by: n The first activation of the ATC Flight Plan (earliest EOBT-3 hr),AlignmentStatus.MATCH_EXACT
New or late submissions of ATC Flight Plan,hasNext,E-DPI message consistency check,1,"This process is triggered by: n New or late submissions of the ATC Flight Plan, after cancellation or revised EOBT",AlignmentStatus.MATCH_FUZZY
E-DPI message consistency check,hasNext,Operational Status changes to INITIATED,1,The E-DPI message should not be sent if no or inconsistent information is provided.,AlignmentStatus.MATCH_FUZZY
Operational Status changes to INITIATED,hasNext,ELDT and EIBT updated for arrival,1,Operational Status INITIATED (changes to),AlignmentStatus.MATCH_EXACT
Operational Status changes to INITIATED,hasNext,EOBT and ETOT updated for departure,1,Operational Status INITIATED (changes to),AlignmentStatus.MATCH_FUZZY
ELDT and EIBT updated for arrival,hasNext,DPI process commences,1,Action on CDM ELDT and EIBT updated for an arrival,AlignmentStatus.MATCH_EXACT
EOBT and ETOT updated for departure,hasNext,DPI process commences,1,Operation (ACISP) EOBT and ETOT updated for a departure,AlignmentStatus.MATCH_EXACT
MISSING: ATC Flight Plan is submitted by the Aircraft Operator,,,-1,,
